name|Opponent Rank|Opponent Elo Rating|Upsets scored|Upsets scored %|Upsets against|Upsets against %|Upsets|Upsets %|Point Time (seconds)|Game Time (minutes)|Set Time (minutes)|Match Time
Harold Solomon|47|1957|55|6.8|151|18.6|206|25.3|44.0|4.53|38.5|1.28
Sergi Bruguera|44|1938|81|11.3|157|21.9|238|33.2|35.4|3.86|35.7|1.47
Jo Wilfried Tsonga|32|1990|81|11.5|121|17.2|202|28.7|38.6|4.03|40.0|1.73
Kei Nishikori|33|1987|81|12.6|96|15.0|177|27.6|40.3|4.34|41.4|1.78
David Nalbandian|35|1963|95|16.5|106|18.4|201|35.0|40.8|4.41|42.1|1.83
Alex Corretja|44|1936|82|11.4|175|24.3|257|35.7|40.1|4.39|41.8|1.77
Johan Kriek|51|1937|58|9.9|114|19.6|172|29.5|33.8|3.80|37.1|1.4
Tommy Haas|37|1958|165|18.2|151|16.7|316|34.9|37.5|3.98|38.6|1.63
Thomas Enqvist|39|1956|110|14.8|156|21.0|266|35.8|34.9|3.79|36.4|1.53
Andres Gomez|57|1916|65|8.6|144|19.0|209|27.5|36.4|4.02|39.0|1.62
Petr Korda|38|1960|99|15.1|133|20.2|232|35.3|33.8|3.75|36.0|1.53
Milos Raonic|35|1984|49|9.0|102|18.8|151|27.8|38.9|4.00|40.7|1.73
Tim Henman|40|1948|81|10.6|171|22.3|252|32.9|38.2|4.13|39.9|1.75
Guillermo Coria|44|1934|35|10.5|66|19.9|101|30.4|41.2|4.48|41.9|1.77
Brad Gilbert|52|1930|62|7.9|163|20.7|225|28.5|38.7|4.21|39.8|1.73
Todd Martin|36|1963|117|18.2|89|13.8|206|32.0|34.2|3.75|36.8|1.63
Tim Mayotte|51|1942|73|13.9|111|21.2|184|35.1|37.7|4.09|40.6|1.77
Albert Costa|44|1936|86|13.1|172|26.1|258|39.2|38.3|4.14|39.8|1.65
Andrei Medvedev|41|1938|85|15.9|101|18.9|186|34.9|32.6|3.61|34.2|1.5
Wayne Ferreira|43|1944|105|12.5|182|21.7|287|34.2|33.6|3.68|35.7|1.57
Greg Rusedski|41|1950|131|18.1|115|15.9|246|34.1|34.1|3.63|36.4|1.55
Robin Soderling|32|1981|86|17.9|74|15.4|160|33.3|38.3|4.02|38.9|1.63
Fernando Gonzalez|41|1941|69|12.1|108|18.9|177|31.0|38.5|4.05|39.7|1.73
Ivan Ljubicic|38|1946|117|16.2|148|20.5|265|36.7|40.8|4.32|43.1|1.83
Pat Cash|51|1937|79|21.6|52|14.2|131|35.8|40.0|4.37|42.1|1.87
Guy Forget|44|1945|108|16.7|133|20.5|241|37.2|35.5|3.82|37.7|1.65
Mark Philippoussis|39|1951|113|21.9|97|18.8|210|40.6|34.7|3.73|37.1|1.65
Henri Leconte|44|1948|108|17.1|106|16.8|214|33.9|34.4|3.78|36.4|1.6
Cedric Pioline|40|1953|100|14.2|162|23.0|262|37.2|37.0|4.04|39.2|1.7
Sebastien Grosjean|40|1947|62|10.6|114|19.4|176|30.0|39.4|4.25|40.8|1.78
Anders Jarryd|51|1933|89|14.0|94|14.8|183|28.7|37.1|3.96|37.2|1.5
Magnus Norman|45|1930|66|15.7|85|20.2|151|36.0|38.5|4.19|40.4|1.67
Emilio Sanchez|52|1912|74|10.3|168|23.4|242|33.7|39.4|4.29|41.4|1.68
Tommy Robredo|44|1934|81|9.1|192|21.6|273|30.7|39.1|4.18|39.8|1.7
Marc Rosset|47|1930|114|14.6|195|24.9|309|39.5|35.9|3.87|37.8|1.55
Jonas Bjorkman|43|1937|131|16.9|146|18.9|277|35.8|35.4|3.90|36.7|1.57
James Blake|42|1939|101|16.3|114|18.4|215|34.7|35.8|3.85|37.1|1.58
Gaston Gaudio|44|1924|57|12.2|109|23.4|166|35.6|40.8|4.44|41.7|1.78
Andrei Chesnokov|50|1920|89|14.8|136|22.7|225|37.5|37.1|4.11|38.7|1.6
Mikhail Youzhny|41|1944|149|16.3|197|21.6|346|37.9|40.3|4.34|41.5|1.77
Aaron Krickstein|49|1933|79|12.4|136|21.4|215|33.8|32.4|3.62|34.5|1.48
Kevin Anderson|39|1957|83|13.7|102|16.9|185|30.6|39.5|4.13|41.9|1.82
Alberto Berasategui|54|1908|51|10.7|119|24.9|170|35.6|33.5|3.70|34.8|1.4
Magnus Gustafsson|47|1931|112|16.6|122|18.1|234|34.7|36.0|3.96|37.2|1.57
Nicolas Kiefer|36|1957|135|21.3|106|16.7|241|38.0|40.7|4.34|41.4|1.72
Thomas Johansson|42|1943|102|15.7|125|19.3|227|35.0|37.3|4.00|39.0|1.65
Kevin Curren|46|1944|73|12.9|111|19.6|184|32.5|39.8|4.28|41.4|1.78
Felix Mantilla|49|1916|86|16.2|119|22.4|205|38.6|39.0|4.22|40.0|1.65
Vijay Amritraj|63|1912|104|16.6|119|19.0|223|35.7|38.4|4.06|36.5|1.22
Magnus Larsson|40|1947|119|22.5|75|14.2|194|36.7|32.0|3.46|33.5|1.45
Guillermo Canas|47|1922|81|18.1|80|17.9|161|36.0|41.8|4.52|43.3|1.83
Nicolas Almagro|42|1943|87|12.9|125|18.5|212|31.4|38.9|4.14|40.8|1.7
Feliciano Lopez|40|1947|161|16.3|229|23.2|390|39.4|37.5|3.93|39.5|1.7
Mardy Fish|41|1943|103|19.8|90|17.3|193|37.2|39.8|4.20|40.8|1.73
Ivo Karlovic|47|1928|137|19.1|154|21.5|291|40.6|36.2|3.70|39.7|1.7
Karel Novacek|54|1912|62|11.4|132|24.3|194|35.7|35.1|3.83|36.6|1.55
Martin Jaite|55|1909|56|11.7|93|19.5|149|31.2|43.2|4.74|45.4|1.8
Jiri Novak|43|1934|92|15.4|133|22.3|225|37.8|34.5|3.73|35.3|1.5
Radek Stepanek|38|1957|128|18.7|118|17.2|246|35.9|39.8|4.25|40.9|1.73
Rainer Schuettler|49|1920|106|16.0|157|23.6|263|39.6|39.5|4.25|40.5|1.68
Dominik Hrbaty|44|1924|82|12.1|166|24.5|248|36.6|36.1|3.90|37.4|1.58
Guillermo Perez Roldan|68|1878|32|8.5|83|22.1|115|30.6|41.9|4.64|43.5|1.63
Sjeng Schalken|45|1925|85|15.2|121|21.6|206|36.9|37.6|4.07|39.0|1.65
Karol Kucera|42|1939|108|20.1|102|19.0|210|39.2|36.7|4.03|38.1|1.58
Malivai Washington|49|1926|59|13.6|88|20.3|147|33.9|35.0|3.82|36.5|1.53
Alberto Mancini|56|1901|39|14.3|63|23.1|102|37.4|39.3|4.28|40.7|1.7
Mikael Pernfors|47|1937|37|14.7|53|21.0|90|35.7|36.0|3.90|36.6|1.45
Jimmy Arias|55|1914|79|16.1|92|18.7|171|34.8|39.6|4.33|40.8|1.67
Juan Monaco|42|1933|115|18.8|108|17.6|223|36.4|42.2|4.57|43.6|1.77
Jonas Svensson|46|1926|59|12.8|99|21.4|158|34.2|37.1|4.10|38.6|1.65
Nicolas Lapentti|53|1909|93|15.1|119|19.3|212|34.4|41.3|4.49|43.2|1.85
Marcos Baghdatis|44|1937|118|19.0|102|16.4|220|35.4|38.9|4.16|40.7|1.73
David Wheaton|46|1939|89|21.1|66|15.7|155|36.8|35.4|3.92|37.9|1.67
Nicolas Massu|53|1896|74|14.9|93|18.8|167|33.7|45.7|4.93|47.4|1.93
Juan Ignacio Chela|46|1920|92|15.3|127|21.1|219|36.3|41.1|4.44|42.0|1.78
Amos Mansdorf|53|1915|73|13.7|109|20.5|182|34.3|33.8|3.69|35.6|1.47
Jakob Hlasek|49|1933|103|13.5|144|18.9|247|32.5|33.3|3.62|35.3|1.48
Jaime Yzaga|60|1894|75|15.4|110|22.6|185|38.1|34.3|3.82|36.7|1.58
Carlos Costa|56|1905|68|14.9|105|23.0|173|37.9|35.8|3.94|37.4|1.53
Janko Tipsarevic|48|1923|79|14.5|103|18.9|182|33.5|42.4|4.53|44.4|1.87
Nicolas Escude|35|1954|82|27.2|50|16.6|132|43.9|37.4|4.07|39.1|1.67
Juan Aguilera|65|1894|67|25.3|54|20.4|121|45.7|44.5|4.59|40.7|1.53
Andrei Pavel|49|1920|105|19.3|108|19.9|213|39.2|37.1|4.02|38.6|1.6
Ramesh Krishnan|60|1907|98|16.6|103|17.5|201|34.1|39.8|4.32|40.3|1.63
Fabrice Santoro|41|1939|188|20.6|174|19.1|362|39.7|39.1|4.30|40.6|1.7
Jurgen Melzer|46|1923|112|16.4|142|20.8|254|37.1|38.1|4.09|39.5|1.68
Younes El Aynaoui|54|1902|70|14.3|117|23.9|187|38.2|37.4|4.02|39.6|1.67
Arnaud Clement|41|1936|140|21.8|111|17.3|251|39.0|41.1|4.44|42.6|1.83
Mario Ancic|41|1931|65|19.0|52|15.2|117|34.2|41.2|4.34|42.5|1.82
Francisco Clavet|49|1913|99|13.6|135|18.6|234|32.2|38.6|4.25|40.0|1.65
Horst Skoff|58|1898|59|13.7|110|25.6|169|39.3|41.5|4.54|42.5|1.6
Alexander Volkov|48|1931|66|11.8|117|21.0|183|32.9|32.9|3.62|34.7|1.52
Jay Berger|56|1911|24|10.9|44|20.0|68|30.9|43.5|4.97|42.8|1.85
Wally Masur|57|1911|95|15.7|94|15.5|189|31.1|34.7|3.74|36.8|1.6
Philipp Kohlschreiber|38|1951|130|15.0|150|17.4|280|32.4|38.9|4.12|40.0|1.67
Jordi Arrese|59|1890|72|16.7|97|22.5|169|39.1|42.5|4.66|44.5|1.82
Tim Wilkison|64|1903|86|15.2|88|15.6|174|30.8|43.1|5.24|44.5|1.48
Paradorn Srichaphan|57|1898|53|12.1|95|21.7|148|33.9|37.7|3.99|38.5|1.6
Jason Stoltenberg|52|1920|124|21.8|103|18.1|227|39.9|33.8|3.71|35.2|1.5
Mark Woodforde|47|1939|140|22.2|119|18.9|259|41.0|35.6|3.96|38.0|1.6
Alexandr Dolgopolov|38|1960|69|16.4|94|22.4|163|38.8|35.0|3.71|35.9|1.5
Scott Davis|50|1931|86|21.4|90|22.4|176|43.9|36.9|4.08|39.7|1.68
Max Mirnyi|45|1927|98|20.2|97|20.0|195|40.3|37.7|3.96|39.6|1.65
Chris Woodruff|45|1931|47|22.1|35|16.4|82|38.5|36.8|4.02|38.9|1.68
John Fitzgerald|69|1895|94|20.9|76|16.9|170|37.8|31.3|3.46|32.6|1.33
Martin Klizan|51|1912|54|18.1|63|21.1|117|39.1|39.3|4.23|40.7|1.73
Michael Llodra|40|1943|101|24.8|58|14.2|159|39.0|37.1|3.91|38.3|1.57
Thierry Tulasne|58|1906|78|17.6|84|19.0|162|36.7|42.2|5.00|45.0|1.5
Jan Siemerink|46|1933|109|20.0|141|25.9|250|46.0|34.8|3.78|37.1|1.58
Arnaud Boetsch|43|1940|81|18.8|100|23.1|181|41.9|35.3|3.88|37.2|1.52
Mariano Puerta|51|1903|51|20.7|47|19.1|98|39.8|38.6|4.08|38.5|1.55
Mariano Zabaleta|44|1918|100|24.1|84|20.2|184|44.3|39.8|4.34|41.9|1.73
Slobodan Zivojinovic|59|1905|44|15.4|51|17.9|95|33.3|38.4|4.07|40.4|1.72
Todd Woodbridge|51|1923|90|18.8|84|17.6|174|36.4|34.7|3.87|37.0|1.58
Goran Prpic|47|1929|50|20.4|49|20.0|99|40.4|39.7|4.34|41.0|1.73
Dmitry Tursunov|46|1923|83|18.6|85|19.1|168|37.7|38.8|4.14|40.5|1.77
Luiz Mattar|71|1874|53|14.5|79|21.6|132|36.2|40.1|4.34|41.2|1.68
Albert Montanes|51|1901|90|16.6|102|18.8|192|35.4|39.0|4.15|39.2|1.58
Javier Sanchez|53|1904|85|12.9|147|22.3|232|35.2|35.7|3.90|37.3|1.53
Carl Uwe Steeb|44|1939|85|20.1|76|18.0|161|38.1|36.4|3.97|37.7|1.53
Jan Michael Gambill|46|1927|69|17.4|75|18.9|144|36.3|37.4|4.02|39.5|1.62
Robby Ginepri|44|1926|83|21.2|68|17.3|151|38.5|36.3|3.85|37.0|1.58
Agustin Calleri|48|1911|80|20.3|81|20.5|161|40.8|39.4|4.23|41.0|1.7
Andrei Cherkasov|44|1938|58|14.3|75|18.5|133|32.8|40.9|4.56|43.8|1.82
Florian Mayer|42|1939|92|18.3|109|21.6|201|39.9|36.5|3.87|36.7|1.48
Hicham Arazi|44|1933|84|18.8|95|21.3|179|40.1|36.5|3.95|37.4|1.6
Marcelo Filippini|72|1872|90|18.4|109|22.3|199|40.7|40.0|4.42|41.5|1.65
Bernard Tomic|43|1938|64|17.4|61|16.6|125|34.1|33.3|3.55|35.2|1.52
Jacco Eltingh|54|1914|49|17.9|57|20.8|106|38.7|33.0|3.57|35.1|1.48
Marcel Granollers|46|1926|80|17.7|97|21.5|177|39.2|41.9|4.44|42.2|1.75
Paul Henri Mathieu|42|1935|115|19.8|100|17.2|215|37.0|41.6|4.45|43.1|1.78
Richard Fromberg|55|1904|112|20.6|101|18.6|213|39.2|35.8|3.93|38.3|1.65
Taylor Dent|46|1918|68|23.5|42|14.5|110|38.1|35.4|3.76|36.5|1.52
Fernando Meligeni|53|1902|89|21.2|73|17.4|162|38.7|36.2|3.93|37.3|1.55
Franco Squillari|54|1901|60|18.8|67|21.0|127|39.8|37.6|4.14|39.2|1.6
Igor Andreev|45|1918|89|19.1|95|20.3|184|39.4|40.7|4.34|42.2|1.8
Joachim Johansson|46|1919|32|25.0|27|21.1|59|46.1|36.4|3.77|38.7|1.57
Jose Acasuso|49|1906|76|20.2|77|20.5|153|40.7|40.7|4.33|41.5|1.65
Paul Annacone|53|1922|47|16.4|50|17.5|97|33.9|37.5|4.08|39.9|1.78
Peter Lundgren|57|1908|55|21.7|59|23.3|114|45.1|35.3|3.82|36.7|1.52
Richey Reneberg|47|1936|108|19.0|96|16.9|204|35.9|33.9|3.73|35.5|1.48
Viktor Troicki|40|1949|93|16.4|106|18.7|199|35.1|37.8|4.04|38.9|1.62
Bernd Karbacher|47|1931|67|22.6|59|19.9|126|42.6|34.7|3.86|36.9|1.57
Byron Black|58|1904|87|17.2|82|16.2|169|33.4|32.8|3.63|34.1|1.4
David Pate|57|1906|60|17.6|75|22.0|135|39.6|36.2|3.93|36.5|1.55
Martin Verkerk|56|1900|23|17.8|30|23.3|53|41.1|38.2|3.96|39.8|1.7
Paul Haarhuis|45|1936|99|18.9|129|24.6|228|43.4|35.3|3.84|36.7|1.55
Vincent Spadea|49|1921|112|16.7|128|19.1|240|35.8|36.5|3.99|38.2|1.58
Albert Portas|53|1892|60|17.7|71|20.9|131|38.6|36.5|3.98|37.5|1.53
Guillermo Garcia Lopez|47|1916|125|19.2|125|19.2|250|38.4|40.5|4.40|42.2|1.78
Thomaz Bellucci|48|1914|62|14.9|81|19.4|143|34.3|39.5|4.24|41.2|1.78
Andrea Gaudenzi|49|1919|85|18.9|88|19.6|173|38.4|37.0|4.08|38.3|1.57
Bohdan Ulihrach|41|1940|96|20.2|92|19.3|188|39.5|34.3|3.75|35.4|1.45
Kenneth Carlsen|65|1886|110|20.0|93|16.9|203|36.9|37.2|4.00|39.2|1.65
Ronald Agenor|57|1901|72|14.9|96|19.9|168|34.9|37.4|4.09|39.2|1.63
Slava Dosedel|49|1907|77|19.8|58|14.9|135|34.8|36.3|4.03|38.4|1.58
Xavier Malisse|46|1929|127|22.4|100|17.6|227|40.0|38.1|4.04|39.0|1.63
Darren Cahill|53|1914|54|21.3|41|16.1|95|37.4|30.3|3.28|31.8|1.4
Filip Dewulf|55|1912|45|20.5|42|19.2|87|39.7|33.0|3.60|34.4|1.45
Jarkko Nieminen|50|1913|109|14.4|149|19.7|258|34.2|37.2|4.00|38.5|1.63
Leonardo Mayer|46|1917|80|21.3|70|18.6|150|39.9|40.4|4.27|42.0|1.82
Renzo Furlan|53|1906|80|17.3|93|20.1|173|37.4|38.5|4.21|39.8|1.65
Roberto Carretero|53|1895|20|29.4|11|16.2|31|45.6|37.6|4.10|39.1|1.58
Horacio De La Pena|66|1878|69|18.7|71|19.2|140|37.9|42.6|4.66|42.4|1.67
Nicolas Mahut|46|1924|104|25.6|59|14.5|163|40.1|38.4|4.02|40.3|1.7
Sergiy Stakhovsky|56|1899|76|19.8|57|14.9|133|34.7|36.7|3.91|38.4|1.63
Fernando Vicente|49|1905|68|18.4|71|19.2|139|37.6|37.5|4.08|38.4|1.63
Franco Davin|71|1877|56|18.3|60|19.6|116|37.9|38.7|4.27|39.8|1.62
Kelly Evernden|81|1865|50|18.3|61|22.3|111|40.7|41.9|4.45|42.9|1.73
Nicklas Kulti|50|1922|81|24.3|42|12.6|123|36.8|36.0|3.95|37.8|1.63
Paolo Cane|57|1900|58|22.2|29|11.1|87|33.3|40.5|4.40|41.9|1.68
Stefan Koubek|52|1905|101|21.7|86|18.5|187|40.2|36.6|3.94|37.3|1.57
Dan Goldie|57|1903|39|16.4|41|17.2|80|33.6|38.1|4.29|42.2|1.8
Davide Sanguinetti|57|1896|63|15.3|88|21.3|151|36.6|35.8|3.91|37.7|1.6
Gilles Muller|51|1917|80|18.2|67|15.2|147|33.4|37.8|3.93|39.9|1.7
Karim Alami|64|1884|66|19.2|77|22.4|143|41.7|36.1|3.95|37.7|1.53
Kyle Edmund|42|1947|33|14.0|47|19.9|80|33.9|40.3|4.26|41.6|1.78
Derrick Rostagno|55|1913|74|19.9|82|22.0|156|41.9|35.3|3.89|37.6|1.6
Jan Gunnarsson|55|1912|72|18.9|57|15.0|129|33.9|36.8|3.89|35.4|1.42
Patrick McEnroe|50|1923|71|23.7|31|10.3|102|34.0|34.5|3.91|37.3|1.58
Jerzy Janowicz|48|1926|33|16.9|35|17.9|68|34.9|34.5|3.63|36.2|1.65
Julien Benneteau|40|1941|131|23.0|104|18.3|235|41.3|41.0|4.38|41.9|1.8
Alberto Martin|50|1909|96|19.7|88|18.1|184|37.8|39.8|4.30|40.3|1.62
David Prinosil|45|1931|90|23.1|68|17.4|158|40.5|33.0|3.62|34.5|1.45
Javier Frana|72|1873|67|20.9|57|17.8|124|38.6|32.8|3.56|34.8|1.5
Mike Bauer|88|1867|20|15.0|27|20.3|47|35.3|35.8|3.83|30.7|1.53
Pedro Rebolledo|94|1843|54|25.7|33|15.7|87|41.4|39.9|4.52|39.6|1.55
Victor Estrella|119|1814|26|17.4|22|14.8|48|32.2|35.2|3.71|35.6|1.47
Christo Van Rensburg|59|1903|55|16.9|55|16.9|110|33.7|39.9|4.38|42.1|1.8
Filippo Volandri|57|1890|56|14.0|89|22.2|145|36.2|39.3|4.27|39.3|1.53
Jerome Golmard|45|1919|67|23.3|39|13.6|106|36.9|37.4|3.99|38.4|1.53
Jim Grabb|57|1906|90|23.9|61|16.2|151|40.2|38.9|4.19|40.7|1.72
Marc Kevin Goellner|47|1922|85|24.1|71|20.1|156|44.2|31.6|3.42|33.7|1.4
Omar Camporese|54|1903|54|17.7|54|17.7|108|35.4|39.5|4.26|40.8|1.72
Steve Darcis|53|1908|60|23.8|32|12.7|92|36.5|38.2|4.06|39.3|1.65
Andreas Vinciguerra|50|1906|46|24.2|28|14.7|74|38.9|36.8|3.99|37.8|1.53
Galo Blanco|56|1892|70|23.6|43|14.5|113|38.2|37.6|4.10|39.3|1.57
Gilbert Schaller|65|1880|31|12.6|76|30.8|107|43.3|38.6|4.28|40.6|1.63
Guido Pella|47|1920|46|18.0|51|19.9|97|37.9|41.1|4.44|43.5|1.93
Jeremy Chardy|39|1947|126|21.0|101|16.8|227|37.8|38.2|4.07|40.2|1.7
Mikael Tillstrom|49|1922|62|27.7|36|16.1|98|43.8|31.5|3.51|33.6|1.52
Christian Bergstrom|51|1916|70|21.7|52|16.1|122|37.8|35.2|3.92|37.2|1.55
Michiel Schapers|66|1885|63|18.2|61|17.6|124|35.7|38.4|4.09|39.8|1.75
Andrei Olhovskiy|62|1891|73|26.0|47|16.7|120|42.7|30.7|3.39|33.2|1.4
Andrew Ilie|55|1902|36|17.6|40|19.5|76|37.1|34.2|3.74|35.7|1.57
Bryan Shelton|69|1886|51|21.3|39|16.3|90|37.5|34.6|3.78|37.6|1.62
Carlos Berlocq|52|1901|63|19.3|58|17.8|121|37.1|44.9|4.86|45.9|1.88
Christian Saceanu|78|1870|31|17.2|29|16.1|60|33.3|35.1|3.74|36.8|1.65
David Sanchez|53|1895|32|15.7|41|20.1|73|35.8|39.7|4.36|40.6|1.65
Denis Istomin|53|1912|89|18.0|81|16.4|170|34.4|37.6|4.00|39.3|1.65
Florent Serra|44|1924|64|21.8|51|17.4|115|39.2|37.7|4.09|39.6|1.68
Francesco Cancellotti|80|1859|42|19.0|38|17.2|80|36.2|38.8|4.06|36.1|1.35
Jaime Oncins|73|1869|33|19.5|32|18.9|65|38.5|40.4|4.49|42.2|1.77
Jan Kroslak|62|1886|39|22.7|26|15.1|65|37.8|33.2|3.72|35.2|1.47
Jeff Tarango|55|1910|112|21.1|93|17.5|205|38.5|35.2|3.90|37.2|1.57
Jonathan Stark|50|1916|65|22.7|41|14.3|106|37.1|34.8|3.76|36.9|1.52
Julian Alonso|62|1882|24|20.7|27|23.3|51|44.0|34.4|3.76|35.5|1.43
Kelly Jones|64|1891|32|24.4|17|13.0|49|37.4|29.3|3.22|28.3|1.13
Luis Horna|65|1875|55|19.5|53|18.8|108|38.3|39.9|4.23|41.6|1.63
Marian Vajda|60|1889|55|20.3|53|19.6|108|39.9|39.2|4.30|40.1|1.77
Martin Sinner|61|1884|32|25.0|21|16.4|53|41.4|33.1|3.58|34.7|1.38
Nicolas Pereira|80|1860|36|17.2|37|17.7|73|34.9|31.9|3.48|34.1|1.42
Olivier Rochus|43|1930|94|18.3|83|16.2|177|34.5|40.0|4.33|41.2|1.75
Patrick Baur|81|1848|39|22.4|25|14.4|64|36.8|39.8|4.36|42.5|1.72
Rajeev Ram|69|1865|35|23.3|19|12.7|54|36.0|34.6|3.61|35.7|1.5
Simon Youl|78|1861|56|24.6|35|15.4|91|39.9|34.8|3.80|37.2|1.55
Stefano Pescosolido|52|1916|59|22.0|42|15.7|101|37.7|36.7|4.03|38.8|1.62
Tomas Carbonell|56|1896|89|21.4|66|15.9|155|37.3|35.3|3.89|36.3|1.52
Yahiya Doumbia|148|1792|17|25.0|9|13.2|26|38.2|39.9|4.35|42.1|1.6
Adrian Voinea|51|1903|66|21.2|49|15.7|115|36.9|33.8|3.69|35.4|1.48
Alex Obrien|55|1912|48|21.0|34|14.8|82|35.8|35.6|3.88|37.8|1.63
Andrey Golubev|48|1924|31|17.0|33|18.1|64|35.2|39.5|4.21|40.1|1.63
